TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-17,2026-08-17,CM,BSE,STK,500002,INE001A01001,ABB,A,,,,,COMP1,100.0,105.0,95.0,102.0,102.0,101.0,,102.0,,,1000,102000.0,100,F1,1,,,,,
2026-08-17,2026-08-17,CM,BSE,STK,500003,INE002A01002,AEGIS,A,,,,,COMP2,100.0,105.0,95.0,102.0,102.0,101.0,,102.0,,,1000,102000.0,100,F1,1,,,,,
2026-08-17,2026-08-17,CM,BSE,STK,500008,INE003A01003,ABB1,A,,,,,COMP3,100.0,105.0,95.0,102.0,102.0,101.0,,102.0,,,1000,102000.0,100,F1,1,,,,,
2026-08-17,2026-08-17,CM,BSE,STK,500009,INE004A01004,ABB2,A,,,,,COMP4,100.0,105.0,95.0,102.0,102.0,101.0,,102.0,,,1000,102000.0,100,F1,1,,,,,
2026-08-17,2026-08-17,CM,BSE,STK,500010,INE005A01005,ABB3,A,,,,,COMP5,100.0,105.0,95.0,102.0,102.0,101.0,,102.0,,,1000,102000.0,100,F1,1,,,,,
2026-08-17,2026-08-17,CM,BSE,STK,500012,INE006A01006,ABB4,A,,,,,COMP6,100.0,105.0,95.0,102.0,102.0,101.0,,102.0,,,1000,102000.0,100,F1,1,,,,,
2026-08-17,2026-08-17,CM,BSE,STK,500013,INE007A01007,ABB5,A,,,,,COMP7,100.0,105.0,95.0,102.0,102.0,101.0,,102.0,,,1000,102000.0,100,F1,1,,,,,
2026-08-17,2026-08-17,CM,BSE,STK,500014,INE008A01008,ABB6,A,,,,,COMP8,100.0,105.0,95.0,102.0,102.0,101.0,,102.0,,,1000,102000.0,100,F1,1,,,,,
2026-08-17,2026-08-17,CM,BSE,STK,500015,INE009A01009,ABB7,A,,,,,COMP9,100.0,105.0,95.0,102.0,102.0,101.0,,102.0,,,1000,102000.0,100,F1,1,,,,,
2026-08-17,2026-08-17,CM,BSE,STK,500016,INE010A01010,ABB8,A,,,,,COMP10,100.0,105.0,95.0,102.0,102.0,101.0,,102.0,,,1000,102000.0,100,F1,1,,,,,
2026-08-17,2026-08-17,CM,BSE,STK,500017,INE011A01011,ABB9,A,,,,,COMP11,100.0,105.0,95.0,102.0,102.0,101.0,,102.0,,,1000,102000.0,100,F1,1,,,,,
2026-08-17,2026-08-17,CM,BSE,STK,500018,INE012A01012,ABB10,A,,,,,COMP12,100.0,105.0,95.0,102.0,102.0,101.0,,102.0,,,1000,102000.0,100,F1,1,,,,,
2026-08-17,2026-08-17,CM,BSE,STK,500019,INE013A01013,ABB11,A,,,,,COMP13,100.0,105.0,95.0,102.0,102.0,101.0,,102.0,,,1000,102000.0,100,F1,1,,,,,
2026-08-17,2026-08-17,CM,BSE,STK,500020,INE014A01014,ABB12,A,,,,,COMP14,100.0,105.0,95.0,102.0,102.0,101.0,,102.0,,,1000,102000.0,100,F1,1,,,,,
2026-08-17,2026-08-17,CM,BSE,STK,500021,INE015A01015,ABB13,A,,,,,COMP15,100.0,105.0,95.0,102.0,102.0,101.0,,102.0,,,1000,102000.0,100,F1,1,,,,,
