SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"HINDZINC","582.00","595.40","579.60","573.90","590.45","-","16.55","2.88","6058744","357.98","733.00","418.00","7.39","33.47"
"BDL","1,317.00","1,363.50","1,317.00","1,317.00","1,353.60","-","36.6","2.78","941642","126.63","1,654.00","1,086.00","3.44","-13.89"
"MUTHOOTFIN","3,009.60","3,055.00","2,995.00","2,970.00","3,052.00","-","82","2.76","748315","226.99","4,149.50","2,604.20","-3.54","10.66"
"VMM","102.60","105.73","102.34","102.60","105.42","-","2.82","2.75","8740527","91.03","157.60","98.77","-9.64","-31.68"
"MOTILALOFS","974.00","1,002.00","968.55","973.40","999.00","-","25.6","2.63","977725","97.05","1,097.10","614.90","0.9","1.37"
"MANAPPURAM","354.50","358.40","351.35","349.25","358.30","-","9.05","2.59","5731077","203.83","381.55","245.15","-0.71","31.25"
"KFINTECH","963.00","992.40","953.05","961.00","984.20","-","23.2","2.41","1715196","168.57","1,215.00","784.95","8.12","-13.87"
"CROMPTON","256.00","259.00","252.80","252.00","258.05","-","6.05","2.4","2494179","64.01","337.50","217.40","-2.48","-23.25"
"POWERGRID","264.60","271.95","264.20","264.80","271.15","-","6.35","2.4","4130266","110.55","324.95","250.00","-7.64","-8.18"
"MCX","3,145.10","3,211.40","3,132.00","3,126.00","3,198.30","-","72.3","2.31","1697585","538.47","3,480.00","1,460.80","11.6","-61.99"
"VEDL","270.30","276.50","269.00","268.00","273.80","-","5.8","2.16","9900324","271.73","795.00","249.70","1.19","-39.84"
"PREMIERENE","1,050.00","1,072.40","1,045.70","1,040.00","1,061.50","-","21.5","2.07","1268179","134.54","1,134.00","660.00","-0.8","0.24"
"CDSL","1,345.90","1,378.00","1,345.90","1,345.90","1,372.20","-","26.3","1.95","959691","131.06","1,673.70","1,116.30","-1.39","-15.01"
"INDUSTOWER","369.70","376.75","369.55","368.80","375.90","-","7.1","1.93","1352218","50.52","481.50","312.55","-8.81","5.64"
"NATIONALUM","388.00","394.80","384.60","385.60","393.00","-","7.4","1.92","2447665","95.93","445.15","183.86","12.45","100.6"
"GVT&D","4,062.80","4,129.70","4,025.00","4,050.10","4,125.30","-","85.2","2.11","374692","152.64","5,650.00","2,523.20","-9.74","45.14"
"POWERINDIA","33,515.00","34,215.00","33,250.00","33,510.00","34,090.00","-","585","1.75","34401","116.26","38,785.00","16,111.00","4.12","67.55"
"ICICIPRULI","502.00","509.90","501.05","502.00","509.70","-","7.7","1.53","484446","24.54","706.80","459.50","0.3","-20.58"
"KOTAKBANK","398.90","406.00","398.30","397.35","403.35","-","6","1.51","4365974","175.92","453.20","345.50","2.95","-80.3"
"NAM-INDIA","1,233.00","1,253.30","1,226.10","1,232.50","1,251.00","-","18.5","1.5","386991","48.15","1,266.20","780.25","5.62","42.3"
"BANDHANBNK","174.78","176.95","174.16","174.16","176.73","-","2.57","1.48","2527615","44.50","220.76","134.25","-16.6","-0.07"
"LTF","315.00","319.95","314.15","314.75","319.00","-","4.25","1.35","1060182","33.65","338.60","214.63","2.61","45.36"
"NTPC","337.00","342.20","337.00","337.50","342.00","-","4.5","1.33","1416472","48.16","414.40","315.55","-3.17","-1.32"
"PRESTIGE","1,592.00","1,616.90","1,590.00","1,585.50","1,605.10","-","19.6","1.24","179834","28.89","1,805.20","1,090.00","-7.11","-2.53"
"SOLARINDS","19,850.00","20,093.00","19,651.00","19,760.00","20,004.00","-","244","1.23","50534","100.47","20,422.00","11,646.00","3.75","36.62"
"WAAREEENER","2,672.90","2,727.00","2,672.80","2,675.00","2,706.70","-","31.7","1.19","210910","57.06","3,865.00","2,403.00","-2.09","-15.12"
"BEL","413.45","415.95","408.65","409.40","414.20","-","4.8","1.17","5344888","220.84","473.45","361.20","-0.16","10.1"
"PAYTM","1,603.30","1,626.60","1,598.00","1,603.60","1,622.20","-","18.6","1.16","1599153","258.91","1,657.60","930.60","23.31","28.49"
"ADANIGREEN","1,310.20","1,324.90","1,310.20","1,301.80","1,316.00","-","14.2","1.09","485925","64.07","1,631.50","765.00","-15.57","33.39"
"AUBANK","1,088.00","1,099.90","1,083.90","1,088.00","1,099.30","-","11.3","1.04","329442","35.99","1,105.90","682.15","8.44","43.32"
"NBCC","88.79","89.63","88.42","88.25","89.15","-","0.9","1.02","2946128","26.26","125.85","77.18","-8.83","-16.26"
"HAL","4,985.20","5,092.00","4,980.00","4,998.00","5,048.60","-","50.6","1.01","368672","185.66","5,149.90","3,479.10","9.09","11.85"
"HDFCBANK","728.30","732.80","726.60","725.05","732.40","-","7.35","1.01","13908465","1,015.79","1,020.50","715.10","-4.78","-63.53"
"PGEL","603.00","610.00","601.90","602.05","608.00","-","5.95","0.99","275889","16.72","644.40","436.55","-1.33","12.2"
"NMDC","84.19","85.43","83.49","83.95","84.77","-","0.82","0.98","7460988","63.20","97.49","68.19","0.02","16.89"
"CAMS","752.90","759.50","747.00","749.25","756.55","-","7.3","0.97","440866","33.25","844.90","611.40","-2.35","-80.5"
"FEDERALBNK","356.30","359.15","355.15","355.30","358.65","-","3.35","0.94","1300584","46.46","371.70","188.40","-0.21","77.91"
"AMBER","7,275.00","7,385.00","7,261.00","7,275.00","7,340.00","-","65","0.89","84502","61.98","8,974.00","5,400.50","-4.55","-1.18"
"LICI","421.70","423.00","419.55","419.00","422.50","-","3.5","0.84","3082032","129.82","468.48","360.75","-2.49","-53.41"
"BPCL","308.70","311.50","307.20","308.70","311.30","-","2.6","0.84","959873","29.73","391.65","266.60","-3.33","-3.52"
